Title,Map Point,Item Type,guid
ARC Blue Light Phone,GEOMETRYCOLLECTION(POINT(-122.05971 36.99437)),Blue Light Phone,
ARC Elevator,GEOMETRYCOLLECTION(POINT(-122.0594 36.99432)),Blue Light Phone,
Barn G Bus Stop,GEOMETRYCOLLECTION(POINT(-122.05199 36.98133)),Blue Light Phone,
Baskin Engineering Bus Stop,GEOMETRYCOLLECTION(POINT(-122.06228 37.00001)),Blue Light Phone,
Baytree Blue Light Phone,GEOMETRYCOLLECTION(POINT(-122.05558 36.99776)),Blue Light Phone,
Baytree Bookstore North Elevator,GEOMETRYCOLLECTION(POINT(-122.05565 36.99799)),Blue Light Phone,
Baytree Bookstore South Elevator,GEOMETRYCOLLECTION(POINT(-122.05548 36.99777)),Blue Light Phone,
College 10 R4 Elevator,GEOMETRYCOLLECTION(POINT(-122.05937 37.00035)),Blue Light Phone,
College 10 Social Sciences 2 Elevator,GEOMETRYCOLLECTION(POINT(-122.05873 37.001)),Blue Light Phone,
College 8 Commons Elevator,GEOMETRYCOLLECTION(POINT(-122.06469 36.99117)),Blue Light Phone,
College 8 Foot Path,GEOMETRYCOLLECTION(POINT(-122.06311 36.99062)),Blue Light Phone,
College 8 Academic Elevator,GEOMETRYCOLLECTION(POINT(-122.06468 36.99184)),Blue Light Phone,
College 8 Cafe Elevator,GEOMETRYCOLLECTION(POINT(-122.06438 36.99143)),Blue Light Phone,
College 9 Apartments Elevator,GEOMETRYCOLLECTION(POINT(-122.05908 37.00261)),Blue Light Phone,
College 9 Apartment 5 Building,GEOMETRYCOLLECTION(POINT(-122.0586 37.00327)),Blue Light Phone,
College 9 DIN FR8,GEOMETRYCOLLECTION(POINT(-122.05713 37.00168)),Blue Light Phone,
College 9 DIN PAS,GEOMETRYCOLLECTION(POINT(-122.05817 37.00101)),Blue Light Phone,
College 9 R2 EL,GEOMETRYCOLLECTION(POINT(-122.05735 37.00121)),Blue Light Phone,
College 9 Social Sciences 1 Elevator,GEOMETRYCOLLECTION(POINT(-122.05806 37.0023)),Blue Light Phone,
Center for Adaptive Optics Elevator,GEOMETRYCOLLECTION(POINT(-122.06046 36.99827)),Blue Light Phone,
Chinquapin Rd Blue Light Telephone East,GEOMETRYCOLLECTION(POINT(-122.05508 37.00224)),Blue Light Phone,
Chinquapin Blue Light Telephone West,GEOMETRYCOLLECTION(POINT(-122.05314 37.00214)),Blue Light Phone,
Communications Building,GEOMETRYCOLLECTION(POINT(-122.06182 37.00092)),Blue Light Phone,
Cook House Elevator,GEOMETRYCOLLECTION(POINT(-122.05447 36.97894)),Blue Light Phone,
Core West Parking 1 East,GEOMETRYCOLLECTION(POINT(-122.06363 36.99968)),Blue Light Phone,
Core West Parking 1 North,GEOMETRYCOLLECTION(POINT(-122.06365 36.99898)),Blue Light Phone,
Core West Parking 1 West,GEOMETRYCOLLECTION(POINT(-122.06419 36.99893)),Blue Light Phone,
Core West Parking 2 East,GEOMETRYCOLLECTION(POINT(-122.06311 36.99943)),Blue Light Phone,
Core West Parking 2 North,GEOMETRYCOLLECTION(POINT(-122.06312 36.9989)),Blue Light Phone,
Core West Parking 2 West,GEOMETRYCOLLECTION(POINT(-122.06407 36.99919)),Blue Light Phone,
Core West Parking 3 East,GEOMETRYCOLLECTION(POINT(-122.06347 36.99964)),Blue Light Phone,
Core West Parking 3 North,GEOMETRYCOLLECTION(POINT(-122.06323 36.99954)),Blue Light Phone,
Core West Parking 3 West,GEOMETRYCOLLECTION(POINT(-122.06385 36.99952)),Blue Light Phone,
Core West Parking 4 East,GEOMETRYCOLLECTION(POINT(-122.06329 36.99913)),Blue Light Phone,
Core West Parking 4 North,GEOMETRYCOLLECTION(POINT(-122.06335 36.9994)),Blue Light Phone,
Core West Parking 4 West,GEOMETRYCOLLECTION(POINT(-122.06392 36.99931)),Blue Light Phone,
Core West Parking 5 East,GEOMETRYCOLLECTION(POINT(-122.06318 36.99913)),Blue Light Phone,
Core West Parking 5 North,GEOMETRYCOLLECTION(POINT(-122.06355 36.9993)),Blue Light Phone,
Core West Parking 5 West,GEOMETRYCOLLECTION(POINT(-122.06392 36.99924)),Blue Light Phone,
Core West Parking 6 East,GEOMETRYCOLLECTION(POINT(-122.06323 36.99919)),Blue Light Phone,
Core West Parking 6 North,GEOMETRYCOLLECTION(POINT(-122.06352 36.9993)),Blue Light Phone,
Core West Parking 6 West,GEOMETRYCOLLECTION(POINT(-122.06405 36.99914)),Blue Light Phone,
Core West Parking E Elevator,GEOMETRYCOLLECTION(POINT(-122.06323 36.9991)),Blue Light Phone,
Core West Parking W Elevator,GEOMETRYCOLLECTION(POINT(-122.06401 36.99919)),Blue Light Phone,
Cowell Dining Commons Elevator,GEOMETRYCOLLECTION(POINT(-122.05315 36.99694)),Blue Light Phone,
Cowell Elevator,GEOMETRYCOLLECTION(POINT(-122.05363 36.99731)),Blue Light Phone,
Cowell Left,GEOMETRYCOLLECTION(POINT(-122.05301 36.9969)),Blue Light Phone,
Cowell Service Rd,GEOMETRYCOLLECTION(POINT(-122.0541 36.99615)),Blue Light Phone,
Cowell whl,GEOMETRYCOLLECTION(POINT(-122.053 36.99694)),Blue Light Phone,
Digital Arts Research Center Elevator,GEOMETRYCOLLECTION(POINT(-122.0605 36.99386)),Blue Light Phone,
East Remote Blue Light Phone,GEOMETRYCOLLECTION(POINT(-122.05469 36.99137)),Blue Light Phone,
East Remote Middle,GEOMETRYCOLLECTION(POINT(-122.05328 36.99112)),Blue Light Phone,
East Remote Shuttle Stop,GEOMETRYCOLLECTION(POINT(-122.05209 36.99075)),Blue Light Phone,
Jack Baskin Engineering E2 Auditorium Lift,GEOMETRYCOLLECTION(POINT(-122.06262 37.00013)),Blue Light Phone,
Jack Basking Engineering 2 North,GEOMETRYCOLLECTION(POINT(-122.06263 37.0004)),Blue Light Phone,
Earth & Marine Sciences A Wing,GEOMETRYCOLLECTION(POINT(-122.05995 36.99787)),Blue Light Phone,
Earth & Marine Sciences  C Wing,GEOMETRYCOLLECTION(POINT(-122.0595 36.99797)),Blue Light Phone,
Earth & Marine Sciences Lobby,GEOMETRYCOLLECTION(POINT(-122.05986 36.99795)),Blue Light Phone,
Fire House Building,GEOMETRYCOLLECTION(POINT(-122.05554 37.00177)),Blue Light Phone,
Hagar Steinhart Way Bus Stop,GEOMETRYCOLLECTION(POINT(-122.05501 36.99745)),Blue Light Phone,
Hahn Parking Lot 1,GEOMETRYCOLLECTION(POINT(-122.05694 36.99561)),Blue Light Phone,
Hahn Parking Lot 2,GEOMETRYCOLLECTION(POINT(-122.05716 36.99533)),Blue Light Phone,
Hahn Parking Lot 3,GEOMETRYCOLLECTION(POINT(-122.05726 36.99483)),Blue Light Phone,
Hahn Elevator,GEOMETRYCOLLECTION(POINT(-122.05711 36.99577)),Blue Light Phone,
Cowell Health Center Building,GEOMETRYCOLLECTION(POINT(-122.05796 36.99944)),Blue Light Phone,
Cowell Health Center Elevator,GEOMETRYCOLLECTION(POINT(-122.05761 36.99934)),Blue Light Phone,
Cowell Health Center North,GEOMETRYCOLLECTION(POINT(-122.0566 36.99966)),Blue Light Phone,
Humanities 1 Elevator,GEOMETRYCOLLECTION(POINT(-122.05495 36.99843)),Blue Light Phone,
Humanities 2 Elevator,GEOMETRYCOLLECTION(POINT(-122.05464 36.99833)),Blue Light Phone,
Interdisiplinary Sciences Building Elevator,GEOMETRYCOLLECTION(POINT(-122.05996 36.99878)),Blue Light Phone,
Jack Baskin Engineering Bus Stop,GEOMETRYCOLLECTION(POINT(-122.06235 37.00008)),Blue Light Phone,
Jack Baskin Engineering Passenger Elevator,GEOMETRYCOLLECTION(POINT(-122.06316 37.00014)),Blue Light Phone,
Kerr Hall Elevator,GEOMETRYCOLLECTION(POINT(-122.06171 36.99699)),Blue Light Phone,
Kresge Elevator,GEOMETRYCOLLECTION(POINT(-122.06596 36.99658)),Blue Light Phone,
Krege Bus Stop,GEOMETRYCOLLECTION(POINT(-122.06459 36.99936)),Blue Light Phone,
Kresge Seminar,GEOMETRYCOLLECTION(POINT(-122.06675 36.99724)),Blue Light Phone,
Kresge Bus Stop,GEOMETRYCOLLECTION(POINT(-122.06451 36.99927)),Blue Light Phone,
Kresege J Building,GEOMETRYCOLLECTION(POINT(-122.06585 36.99663)),Blue Light Phone,
Kresge J Elevator,GEOMETRYCOLLECTION(POINT(-122.06576 36.99666)),Blue Light Phone,
Digital Arts Research Center,GEOMETRYCOLLECTION(POINT(-122.06033 36.9938)),Blue Light Phone,
McHenry Library Wing Elevator,GEOMETRYCOLLECTION(POINT(-122.06 36.99325)),Blue Light Phone,
McHenry East Blue Light Telephone,GEOMETRYCOLLECTION(POINT(-122.05823 36.9958)),Blue Light Phone,
McHenry North Blue Light Telephone,GEOMETRYCOLLECTION(POINT(-122.05912 36.9963)),Blue Light Phone,
McH2 FR EL,GEOMETRYCOLLECTION(POINT(-122.0578 36.99566)),Blue Light Phone,
McHenry Library 2 L Elevator,GEOMETRYCOLLECTION(POINT(-122.05921 36.99582)),Blue Light Phone,
McHenry Library R Elevator,GEOMETRYCOLLECTION(POINT(-122.05789 36.99566)),Blue Light Phone,
North Remote Blue Light Telephone,GEOMETRYCOLLECTION(POINT(-122.06524 37.00183)),Blue Light Phone,
North Remote Center,GEOMETRYCOLLECTION(POINT(-122.06594 37.00244)),Blue Light Phone,
Natural Science 2 Elevator,GEOMETRYCOLLECTION(POINT(-122.06029 36.99839)),Blue Light Phone,
Natural Sciences 2 Annex Elevator,GEOMETRYCOLLECTION(POINT(-122.06122 36.99848)),Blue Light Phone,
Oakes Administration Building,GEOMETRYCOLLECTION(POINT(-122.06263 36.99001)),Blue Light Phone,
Oakes College Bus Stop,GEOMETRYCOLLECTION(POINT(-122.0661 36.99063)),Blue Light Phone,
Oakes College Learning Center,GEOMETRYCOLLECTION(POINT(-122.06317 36.98922)),Blue Light Phone,
OPERS Elevator,GEOMETRYCOLLECTION(POINT(-122.05406 36.99507)),Blue Light Phone,
Performing Arts Elevator,GEOMETRYCOLLECTION(POINT(-122.06253 36.99508)),Blue Light Phone,
Performing Arts J Elevator,GEOMETRYCOLLECTION(POINT(-122.06213 36.99439)),Blue Light Phone,
Performing Arts L Wcl,GEOMETRYCOLLECTION(POINT(-122.06202 36.99537)),Blue Light Phone,
Porter B 6,GEOMETRYCOLLECTION(POINT(-122.06484 36.99554)),Blue Light Phone,
Porter B 6 Elevator,GEOMETRYCOLLECTION(POINT(-122.06572 36.99457)),Blue Light Phone,
Porter B Ref 5,GEOMETRYCOLLECTION(POINT(-122.06558 36.99482)),Blue Light Phone,
Porter C Kitchen,GEOMETRYCOLLECTION(POINT(-122.06584 36.99471)),Blue Light Phone,
Porter C Stage,GEOMETRYCOLLECTION(POINT(-122.06615 36.99441)),Blue Light Phone,
Porter D Elevator,GEOMETRYCOLLECTION(POINT(-122.06544 36.99382)),Blue Light Phone,
Porter E,GEOMETRYCOLLECTION(POINT(-122.06517 36.99557)),Blue Light Phone,
Porter F,GEOMETRYCOLLECTION(POINT(-122.06512 36.9963)),Blue Light Phone,
Porter A Elevator,GEOMETRYCOLLECTION(POINT(-122.06492 36.99487)),Blue Light Phone,
Physical Biological Sciences Freight Elevator,GEOMETRYCOLLECTION(POINT(-122.06272 36.99957)),Blue Light Phone,
Physical Biological Sciences Passenger Elevator,GEOMETRYCOLLECTION(POINT(-122.06225 37.00004)),Blue Light Phone,
Porter Dining Elevator,GEOMETRYCOLLECTION(POINT(-122.06591 36.99446)),Blue Light Phone,
Recital Elevator,GEOMETRYCOLLECTION(POINT(-122.05977 36.99353)),Blue Light Phone,
Science Library Blue Light Telephone,GEOMETRYCOLLECTION(POINT(-122.06019 36.99891)),Blue Light Phone,
Science Library Elevator,GEOMETRYCOLLECTION(POINT(-122.06104 36.99896)),Blue Light Phone,
Science Library Freight Elevator,GEOMETRYCOLLECTION(POINT(-122.06061 36.99889)),Blue Light Phone,
Stevenson 9 Building,GEOMETRYCOLLECTION(POINT(-122.05237 36.99651)),Blue Light Phone,
Stevenson 9 Elevator,GEOMETRYCOLLECTION(POINT(-122.05243 36.9967)),Blue Light Phone,
Stevenson Academic Elevator,GEOMETRYCOLLECTION(POINT(-122.05215 36.99743)),Blue Light Phone,
Stevenson Common Left,GEOMETRYCOLLECTION(POINT(-122.05233 36.99696)),Blue Light Phone,
Student Union Elevator,GEOMETRYCOLLECTION(POINT(-122.05591 36.99802)),Blue Light Phone,
Thimann Bus Blue Light Telephone,GEOMETRYCOLLECTION(POINT(-122.06178 36.99782)),Blue Light Phone,
Thimann Elevator,GEOMETRYCOLLECTION(POINT(-122.06168 36.99755)),Blue Light Phone,
Village Bus Blue Light Telephone,GEOMETRYCOLLECTION(POINT(-122.05356 36.98558)),Blue Light Phone,
Village Entrance,GEOMETRYCOLLECTION(POINT(-122.05505 36.98517)),Blue Light Phone,
West Remote Center,GEOMETRYCOLLECTION(POINT(-122.06549 36.98866)),Blue Light Phone,
