Name,LatLon src,,West,North,Map Point,Item Type,,,,
ARC Blue Light Phone,"36.99437,-122.05971",,-122.05971,36.99437,GEOMETRYCOLLECTION(POINT(-122.05971 36.99437)),Blue Light Phone,,,,,
ARC Elevator,"36.99432,-122.05940",,-122.0594,36.99432,GEOMETRYCOLLECTION(POINT(-122.0594 36.99432)),Blue Light Phone,,,,,
Barn G Bus Stop,"36.98133,-122.05199",,-122.05199,36.98133,GEOMETRYCOLLECTION(POINT(-122.05199 36.98133)),Blue Light Phone,,,,,
Baskin Engineering Bus Stop,"37.00001,-122.06228",,-122.06228,37.00001,GEOMETRYCOLLECTION(POINT(-122.06228 37.00001)),Blue Light Phone,,,,,
Baytree Blue Light Phone,"36.99776,-122.05558",,-122.05558,36.99776,GEOMETRYCOLLECTION(POINT(-122.05558 36.99776)),Blue Light Phone,,,,,
Baytree Bookstore North Elevator,"36.99799,-122.05565",,-122.05565,36.99799,GEOMETRYCOLLECTION(POINT(-122.05565 36.99799)),Blue Light Phone,,,,,
Baytree Bookstore South Elevator,"36.99777,-122.05548",,-122.05548,36.99777,GEOMETRYCOLLECTION(POINT(-122.05548 36.99777)),Blue Light Phone,,,,,
College 10 R4 Elevator,"37.00035,-122.05937",,-122.05937,37.00035,GEOMETRYCOLLECTION(POINT(-122.05937 37.00035)),Blue Light Phone,,,,,
College 10 Social Sciences 2 Elevator,"37.00100,-122.05873",,-122.05873,37.001,GEOMETRYCOLLECTION(POINT(-122.05873 37.001)),Blue Light Phone,,,,,
College 8 Commons Elevator,"36.99117,-122.06469",,-122.06469,36.99117,GEOMETRYCOLLECTION(POINT(-122.06469 36.99117)),Blue Light Phone,,,,,
College 8 Foot Path,"36.99062,-122.06311",,-122.06311,36.99062,GEOMETRYCOLLECTION(POINT(-122.06311 36.99062)),Blue Light Phone,,,,,
College 8 Academic Elevator,"36.99184,-122.06468",,-122.06468,36.99184,GEOMETRYCOLLECTION(POINT(-122.06468 36.99184)),Blue Light Phone,,,,,
College 8 Cafe Elevator,"36.99143,-122.06438",,-122.06438,36.99143,GEOMETRYCOLLECTION(POINT(-122.06438 36.99143)),Blue Light Phone,,,,,
College 9 Apartments Elevator,"37.00261,-122.05908",,-122.05908,37.00261,GEOMETRYCOLLECTION(POINT(-122.05908 37.00261)),Blue Light Phone,,,,,
College 9 Apartment 5 Building,"37.00327,-122.05860",,-122.0586,37.00327,GEOMETRYCOLLECTION(POINT(-122.0586 37.00327)),Blue Light Phone,,,,,
College 9 DIN FR8,"37.00168,-122.05713",,-122.05713,37.00168,GEOMETRYCOLLECTION(POINT(-122.05713 37.00168)),Blue Light Phone,,,,,
College 9 DIN PAS,"37.00101,-122.05817",,-122.05817,37.00101,GEOMETRYCOLLECTION(POINT(-122.05817 37.00101)),Blue Light Phone,,,,,
College 9 R2 EL,"37.00121,-122.05735",,-122.05735,37.00121,GEOMETRYCOLLECTION(POINT(-122.05735 37.00121)),Blue Light Phone,,,,,
College 9 Social Sciences 1 Elevator,"37.00230,-122.05806",,-122.05806,37.0023,GEOMETRYCOLLECTION(POINT(-122.05806 37.0023)),Blue Light Phone,,,,,
Center for Adaptive Optics Elevator,"36.99827,-122.06046",,-122.06046,36.99827,GEOMETRYCOLLECTION(POINT(-122.06046 36.99827)),Blue Light Phone,,,,,
Chinquapin Rd Blue Light Telephone East,"37.00224,-122.05508",,-122.05508,37.00224,GEOMETRYCOLLECTION(POINT(-122.05508 37.00224)),Blue Light Phone,,,,,
Chinquapin Blue Light Telephone West,"37.00214,-122.05314",,-122.05314,37.00214,GEOMETRYCOLLECTION(POINT(-122.05314 37.00214)),Blue Light Phone,,,,,
Communications Building,"37.00092,-122.06182",,-122.06182,37.00092,GEOMETRYCOLLECTION(POINT(-122.06182 37.00092)),Blue Light Phone,,,,,
Cook House Elevator,"36.97894,-122.05447",,-122.05447,36.97894,GEOMETRYCOLLECTION(POINT(-122.05447 36.97894)),Blue Light Phone,,,,,
Core West Parking 1 East,"36.99968,-122.06363",,-122.06363,36.99968,GEOMETRYCOLLECTION(POINT(-122.06363 36.99968)),Blue Light Phone,,,,,
Core West Parking 1 North,"36.99898,-122.06365",,-122.06365,36.99898,GEOMETRYCOLLECTION(POINT(-122.06365 36.99898)),Blue Light Phone,,,,,
Core West Parking 1 West,"36.99893,-122.06419",,-122.06419,36.99893,GEOMETRYCOLLECTION(POINT(-122.06419 36.99893)),Blue Light Phone,,,,,
Core West Parking 2 East,"36.99943,-122.06311",,-122.06311,36.99943,GEOMETRYCOLLECTION(POINT(-122.06311 36.99943)),Blue Light Phone,,,,,
Core West Parking 2 North,"36.99890,-122.06312",,-122.06312,36.9989,GEOMETRYCOLLECTION(POINT(-122.06312 36.9989)),Blue Light Phone,,,,,
Core West Parking 2 West,"36.99919,-122.06407",,-122.06407,36.99919,GEOMETRYCOLLECTION(POINT(-122.06407 36.99919)),Blue Light Phone,,,,,
Core West Parking 3 East,"36.99964,-122.06347",,-122.06347,36.99964,GEOMETRYCOLLECTION(POINT(-122.06347 36.99964)),Blue Light Phone,,,,,
Core West Parking 3 North,"36.99954,-122.06323",,-122.06323,36.99954,GEOMETRYCOLLECTION(POINT(-122.06323 36.99954)),Blue Light Phone,,,,,
Core West Parking 3 West,"36.99952,-122.06385",,-122.06385,36.99952,GEOMETRYCOLLECTION(POINT(-122.06385 36.99952)),Blue Light Phone,,,,,
Core West Parking 4 East,"36.99913,-122.06329",,-122.06329,36.99913,GEOMETRYCOLLECTION(POINT(-122.06329 36.99913)),Blue Light Phone,,,,,
Core West Parking 4 North,"36.99940,-122.06335",,-122.06335,36.9994,GEOMETRYCOLLECTION(POINT(-122.06335 36.9994)),Blue Light Phone,,,,,
Core West Parking 4 West,"36.99931,-122.06392",,-122.06392,36.99931,GEOMETRYCOLLECTION(POINT(-122.06392 36.99931)),Blue Light Phone,,,,,
Core West Parking 5 East,"36.99913,-122.06318",,-122.06318,36.99913,GEOMETRYCOLLECTION(POINT(-122.06318 36.99913)),Blue Light Phone,,,,,
Core West Parking 5 North,"36.99930,-122.06355",,-122.06355,36.9993,GEOMETRYCOLLECTION(POINT(-122.06355 36.9993)),Blue Light Phone,,,,,
Core West Parking 5 West,"36.99924,-122.06392",,-122.06392,36.99924,GEOMETRYCOLLECTION(POINT(-122.06392 36.99924)),Blue Light Phone,,,,,
Core West Parking 6 East,"36.99919,-122.06323",,-122.06323,36.99919,GEOMETRYCOLLECTION(POINT(-122.06323 36.99919)),Blue Light Phone,,,,,
Core West Parking 6 North,"36.99930,-122.06352",,-122.06352,36.9993,GEOMETRYCOLLECTION(POINT(-122.06352 36.9993)),Blue Light Phone,,,,,
Core West Parking 6 West,"36.99914,-122.06405",,-122.06405,36.99914,GEOMETRYCOLLECTION(POINT(-122.06405 36.99914)),Blue Light Phone,,,,,
Core West Parking E Elevator,"36.99910,-122.06323",,-122.06323,36.9991,GEOMETRYCOLLECTION(POINT(-122.06323 36.9991)),Blue Light Phone,,,,,
Core West Parking W Elevator,"36.99919,-122.06401",,-122.06401,36.99919,GEOMETRYCOLLECTION(POINT(-122.06401 36.99919)),Blue Light Phone,,,,,
Cowell Dining Commons Elevator,"36.99694,-122.05315",,-122.05315,36.99694,GEOMETRYCOLLECTION(POINT(-122.05315 36.99694)),Blue Light Phone,,,,,
Cowell Elevator,"36.99731,-122.05363",,-122.05363,36.99731,GEOMETRYCOLLECTION(POINT(-122.05363 36.99731)),Blue Light Phone,,,,,
Cowell Left,"36.99690,-122.05301",,-122.05301,36.9969,GEOMETRYCOLLECTION(POINT(-122.05301 36.9969)),Blue Light Phone,,,,,
